Age,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,NumCompaniesWorked,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
34,2,2,2,2,1,8,2,2,96,3,2,3.0,11,4,10.0,2,3,5.0,1.0,4.0,3.0,1
39,6,1,4,10,1,3,3,3,44,4,2,2.0,15,3,12.0,3,1,8.0,3.0,3.0,6.0,1
56,2,1,2,2,1,9,3,3,81,3,4,2.0,11,3,10.0,1,2,10.0,7.0,1.0,1.0,1
40,2,2,2,2,1,2,1,4,86,2,1,0.0,20,4,5.0,2,2,4.0,2.0,2.0,3.0,1
27,2,2,2,2,1,7,3,4,55,2,2,2.0,19,1,9.0,2,1,7.0,6.0,0.0,7.0,1
29,3,3,1,5,1,10,3,4,83,3,1,1.0,14,4,2.0,2,3,2.0,2.0,2.0,2.0,1
53,1,2,2,2,1,6,3,4,86,3,2,2.0,17,4,19.0,4,3,2.0,2.0,2.0,2.0,1
35,1,3,2,7,3,2,4,4,61,3,2,2.0,11,1,16.0,2,4,1.0,0.0,0.0,0.0,1
32,1,1,2,2,2,24,4,1,80,3,2,1.0,15,4,10.0,2,3,10.0,8.0,4.0,7.0,1
34,1,3,2,2,1,8,5,2,32,3,2,3.0,14,3,7.0,3,3,0.0,0.0,0.0,0.0,1
52,3,1,1,8,1,3,4,3,31,2,4,1.0,11,1,10.0,3,4,5.0,6.0,1.0,3.0,1
33,5,2,2,2,1,1,4,4,63,3,1,1.0,13,3,10.0,2,2,10.0,9.0,1.0,8.0,2
25,2,2,1,1,1,26,1,3,32,3,2,1.0,23,2,6.0,5,2,6.0,5.0,1.0,4.0,1
45,4,2,1,5,1,2,2,2,46,1,2,0.0,13,1,9.0,3,3,8.0,7.0,3.0,1.0,1
23,2,2,2,2,1,10,1,1,79,4,1,1.0,18,4,2.0,3,3,2.0,2.0,0.0,2.0,1
47,1,2,1,1,2,27,2,2,77,4,2,4.0,12,4,8.0,2,3,5.0,4.0,1.0,3.0,2
34,5,2,1,1,1,2,3,4,60,3,2,1.0,22,3,6.0,5,3,6.0,5.0,1.0,4.0,1
36,1,2,1,1,3,8,4,1,76,2,3,1.0,15,2,10.0,1,3,10.0,7.0,0.0,9.0,1
52,2,1,2,2,3,19,4,4,41,3,1,0.0,18,1,5.0,3,3,4.0,3.0,1.0,2.0,1
26,1,3,2,2,2,1,2,1,71,1,1,3.0,14,1,5.0,2,3,2.0,2.0,2.0,0.0,1
29,2,1,2,2,1,27,3,2,66,3,2,4.0,12,1,11.0,3,2,8.0,7.0,1.0,1.0,1
26,4,2,1,1,1,8,3,4,38,2,2,2.0,17,3,6.0,2,2,4.0,3.0,1.0,2.0,2
34,1,2,2,2,1,1,4,2,72,4,1,2.0,16,3,10.0,2,3,4.0,2.0,1.0,3.0,1
54,2,3,2,2,1,19,4,4,95,3,2,2.0,11,2,9.0,4,3,5.0,3.0,1.0,4.0,1
27,3,1,1,1,2,8,1,3,84,3,2,0.0,19,2,5.0,3,3,4.0,2.0,1.0,1.0,1
37,1,3,2,2,1,10,1,4,82,3,1,0.0,13,2,6.0,3,2,5.0,3.0,4.0,3.0,1
38,1,2,2,2,2,2,4,1,75,4,2,2.0,12,4,17.0,2,3,5.0,7.0,4.0,3.0,1
34,2,2,2,2,1,2,4,3,86,2,1,1.0,11,3,6.0,3,3,6.0,5.0,1.0,3.0,1
35,1,1,1,5,1,8,4,1,72,3,1,1.0,16,2,3.0,1,2,3.0,2.0,0.0,2.0,1
40,2,1,2,2,2,2,2,3,38,4,2,1.0,24,4,8.0,2,3,8.0,7.0,3.0,7.0,1
34,1,1,1,1,1,8,2,3,93,3,2,5.0,17,2,6.0,1,3,3.0,2.0,1.0,2.0,1
24,1,3,2,7,3,9,3,3,60,2,1,1.0,11,3,10.0,4,3,1.0,0.0,0.0,0.0,1
52,1,1,2,7,1,11,4,4,82,3,2,2.0,20,2,9.0,3,3,5.0,2.0,1.0,4.0,1
50,2,1,2,2,1,2,3,3,64,3,4,5.0,16,4,10.0,3,3,4.0,3.0,0.0,3.0,1
29,1,1,2,2,1,1,2,2,36,2,1,1.0,11,4,10.0,1,3,1.0,0.0,0.0,0.0,2
33,2,1,2,2,1,7,3,3,49,3,3,0.0,11,4,14.0,3,4,13.0,9.0,3.0,7.0,1
33,3,2,1,1,1,16,3,1,69,3,2,5.0,15,3,6.0,3,3,3.0,2.0,0.0,2.0,2
47,5,1,2,2,1,2,2,3,33,3,4,1.0,11,3,10.0,3,2,5.0,3.0,3.0,0.0,1
36,5,1,2,2,1,1,3,3,35,3,2,0.0,15,1,10.0,2,3,9.0,7.0,0.0,5.0,1
29,1,1,2,7,1,23,2,3,81,4,1,1.0,24,3,10.0,3,3,10.0,7.0,0.0,7.0,1
35,1,2,2,7,1,1,4,4,40,4,1,3.0,13,3,7.0,0,3,2.0,2.0,2.0,2.0,1
42,1,1,2,2,1,1,2,4,43,2,2,2.0,13,4,8.0,4,3,4.0,3.0,0.0,2.0,1
28,2,2,2,2,1,2,4,3,46,3,1,2.0,17,4,5.0,3,2,2.0,2.0,2.0,1.0,2
36,6,1,4,10,1,13,3,3,36,3,1,4.0,13,2,8.0,2,3,5.0,2.0,0.0,4.0,1
40,2,2,2,2,2,16,4,1,51,2,2,2.0,14,4,10.0,6,3,1.0,0.0,0.0,0.0,1
30,2,2,2,2,1,2,3,3,52,2,2,5.0,24,2,12.0,4,2,0.0,0.0,0.0,0.0,1
45,1,2,2,2,1,2,3,2,95,2,1,1.0,14,4,10.0,3,3,1.0,0.0,0.0,0.0,1
42,1,1,2,2,1,29,3,2,98,3,2,1.0,13,4,10.0,3,2,9.0,8.0,1.0,8.0,1
38,1,3,2,2,2,12,3,1,45,2,2,2.0,15,3,13.0,3,2,4.0,3.0,1.0,2.0,1
49,3,1,1,1,1,11,3,3,43,3,3,1.0,18,1,9.0,3,4,9.0,8.0,1.0,7.0,2
55,2,2,1,1,1,2,1,3,37,3,2,4.0,16,3,12.0,3,2,9.0,7.0,1.0,3.0,2
43,1,1,2,2,1,14,2,2,94,3,4,2.0,24,3,10.0,3,3,4.0,1.0,1.0,0.0,1
27,4,3,2,2,1,5,1,3,42,2,3,1.0,16,2,9.0,3,3,9.0,8.0,0.0,8.0,1
35,5,2,2,2,1,7,3,3,59,3,3,3.0,21,2,17.0,3,4,8.0,5.0,1.0,6.0,1
28,3,1,1,1,1,2,4,2,81,3,2,1.0,20,1,8.0,2,3,8.0,7.0,1.0,5.0,1
26,2,1,2,2,2,5,2,3,88,2,1,1.0,14,1,8.0,2,3,8.0,7.0,1.0,7.0,2
27,2,1,2,2,3,3,3,4,50,3,1,1.0,11,3,10.0,6,2,0.0,0.0,0.0,0.0,1
51,3,1,1,8,1,26,4,1,66,3,4,2.0,14,3,10.0,2,2,5.0,6.0,4.0,3.0,1
44,2,2,2,2,1,4,3,4,50,3,2,2.0,12,4,10.0,2,2,5.0,2.0,2.0,3.0,1
25,2,2,2,2,1,2,1,1,65,4,1,2.0,13,3,6.0,3,2,4.0,3.0,0.0,1.0,1
35,2,2,2,7,1,27,1,3,53,2,1,1.0,11,4,6.0,3,2,6.0,5.0,1.0,1.0,1
36,1,1,1,1,1,1,2,2,56,3,2,1.0,14,4,18.0,1,2,5.0,3.0,4.0,3.0,1
53,3,1,1,1,1,7,2,1,78,2,3,2.0,18,4,10.0,3,3,5.0,2.0,0.0,4.0,1
45,3,3,1,1,1,9,3,4,74,3,3,4.0,12,3,18.0,2,3,5.0,4.0,0.0,2.0,1
32,2,1,2,2,1,8,2,3,91,4,2,5.0,12,3,9.0,3,2,5.0,3.0,1.0,3.0,1
37,3,3,1,1,1,16,4,4,66,2,2,4.0,19,4,9.0,2,3,1.0,0.0,0.0,0.0,1
28,2,3,4,10,1,8,2,2,63,2,1,1.0,13,4,6.0,6,3,5.0,1.0,0.0,4.0,1
22,1,1,2,7,1,1,2,4,33,2,2,2.0,22,1,4.0,2,1,2.0,2.0,2.0,2.0,1
44,1,1,2,2,1,8,4,1,62,4,1,2.0,24,3,10.0,2,2,3.0,2.0,0.0,2.0,1
42,2,2,2,7,2,2,1,2,35,3,1,5.0,14,4,8.0,2,3,2.0,1.0,2.0,2.0,1
36,1,1,4,10,1,8,3,1,77,2,1,0.0,21,3,6.0,3,3,5.0,4.0,0.0,3.0,1
25,5,1,1,1,1,3,1,3,98,3,2,1.0,18,4,5.0,3,3,5.0,3.0,0.0,3.0,1
35,1,3,2,2,2,25,4,4,96,3,1,1.0,19,1,10.0,3,2,10.0,2.0,1.0,8.0,2
32,1,3,2,2,3,1,3,4,61,3,1,0.0,12,2,4.0,2,3,3.0,0.0,0.0,2.0,1
49,4,1,6,14,1,1,3,3,36,3,1,2.0,16,2,7.0,2,3,4.0,2.0,0.0,2.0,1
24,1,1,2,7,3,4,1,1,46,2,1,0.0,17,4,6.0,2,2,5.0,2.0,3.0,4.0,1
32,1,1,1,1,2,5,2,2,48,3,2,1.0,14,4,10.0,3,3,10.0,8.0,1.0,3.0,1
38,3,1,1,5,1,9,3,2,98,2,1,0.0,19,4,3.0,3,3,2.0,2.0,1.0,2.0,1
31,1,1,2,7,1,11,4,4,48,3,1,3.0,19,2,8.0,2,3,6.0,4.0,0.0,2.0,1
53,3,1,1,1,1,8,3,1,73,3,4,5.0,14,3,10.0,3,3,2.0,0.0,2.0,2.0,1
37,2,1,1,5,2,21,2,3,54,3,1,5.0,15,2,10.0,3,3,5.0,4.0,0.0,0.0,1
53,1,2,2,2,1,23,4,4,72,3,4,2.0,18,3,10.0,0,3,12.0,9.0,3.0,8.0,1
43,1,1,2,2,2,1,3,4,33,3,2,4.0,13,2,12.0,2,2,5.0,2.0,2.0,2.0,1
47,3,1,1,1,1,2,2,3,35,3,2,0.0,22,1,8.0,2,3,7.0,6.0,1.0,7.0,1
37,2,2,1,1,3,19,2,1,32,3,3,1.0,13,4,10.0,2,3,10.0,0.0,0.0,9.0,1
50,1,3,2,2,3,2,4,1,98,3,4,1.0,11,4,10.0,3,3,5.0,6.0,1.0,7.0,1
39,1,1,4,10,1,2,3,4,42,2,2,2.0,11,3,13.0,2,3,5.0,4.0,0.0,4.0,1
33,6,3,4,10,1,3,2,4,57,3,1,3.0,11,3,7.0,4,4,4.0,3.0,0.0,3.0,1
32,1,2,2,2,1,25,4,1,87,3,1,1.0,24,3,10.0,2,1,1.0,0.0,0.0,1.0,2
44,1,1,2,2,1,9,2,2,61,3,1,1.0,13,4,8.0,0,3,8.0,7.0,1.0,1.0,1
58,1,3,2,2,2,2,1,4,57,2,1,2.0,14,4,3.0,3,2,1.0,0.0,0.0,0.0,2
20,2,2,1,5,1,2,3,3,49,2,1,1.0,13,4,2.0,3,2,2.0,2.0,0.0,2.0,2
21,5,2,6,14,1,18,1,4,65,3,1,1.0,19,1,10.0,3,2,1.0,0.0,0.0,0.0,2
36,1,1,6,14,1,14,1,3,68,3,2,0.0,17,1,17.0,2,2,5.0,8.0,4.0,3.0,1
47,1,2,1,5,1,2,4,4,65,2,1,1.0,18,1,3.0,3,2,3.0,2.0,1.0,2.0,1
22,1,1,2,2,1,3,1,2,34,3,2,0.0,19,1,4.0,3,4,3.0,2.0,0.0,2.0,2
28,2,3,2,2,1,9,3,3,77,3,1,5.0,18,2,6.0,2,3,2.0,2.0,2.0,2.0,1
39,2,1,2,7,1,6,3,4,70,3,1,2.0,21,4,8.0,2,1,2.0,2.0,2.0,2.0,2
27,1,2,2,2,1,4,3,2,76,3,1,1.0,19,3,10.0,2,3,1.0,1.0,0.0,0.0,1
34,1,3,2,2,1,10,3,2,83,3,1,1.0,14,2,10.0,3,3,1.0,0.0,1.0,0.0,1
42,2,2,1,1,1,14,2,3,68,2,2,2.0,17,1,10.0,6,3,5.0,4.0,0.0,3.0,1
33,5,2,2,7,1,1,4,3,100,2,1,3.0,11,2,6.0,1,3,3.0,2.0,0.0,2.0,1
58,4,3,2,7,1,5,3,3,37,2,3,2.0,13,4,10.0,3,3,6.0,0.0,0.0,4.0,1
31,1,1,1,5,1,7,4,2,41,2,1,3.0,15,2,13.0,2,4,7.0,7.0,1.0,2.0,1
35,1,1,2,7,1,21,1,4,51,3,2,1.0,25,4,10.0,2,1,10.0,6.0,0.0,7.0,1
48,2,1,6,14,1,20,4,4,51,3,1,4.0,17,1,13.0,2,2,0.0,0.0,0.0,0.0,1
31,3,1,1,1,3,20,2,4,45,3,2,1.0,13,4,9.0,2,2,9.0,8.0,0.0,0.0,1
36,5,2,2,2,1,7,4,2,65,3,1,2.0,18,3,8.0,6,3,6.0,2.0,0.0,1.0,1
38,4,1,2,7,1,1,3,4,80,3,3,1.0,13,2,15.0,3,3,5.0,3.0,1.0,3.0,1
32,1,1,2,7,3,1,3,3,70,2,1,2.0,20,3,5.0,3,3,3.0,0.0,0.0,2.0,1
25,3,1,1,5,1,19,2,3,36,2,1,1.0,18,3,10.0,2,3,1.0,0.0,0.0,0.0,2
41,2,2,2,2,1,6,3,4,59,3,1,2.0,13,3,10.0,3,3,5.0,3.0,2.0,3.0,1
36,2,2,2,2,1,2,4,3,79,3,1,4.0,21,3,16.0,6,3,11.0,8.0,3.0,9.0,1
19,5,2,1,5,1,21,3,4,37,2,1,1.0,13,2,10.0,3,4,1.0,0.0,0.0,0.0,2
20,4,2,2,2,1,4,3,1,84,3,1,1.0,19,2,10.0,2,3,1.0,0.0,0.0,0.0,2
31,2,1,2,2,1,12,3,4,41,3,2,0.0,11,3,10.0,2,1,9.0,7.0,1.0,5.0,1
36,1,1,1,1,1,3,1,3,51,2,3,1.0,11,1,16.0,6,3,5.0,7.0,3.0,7.0,2
37,1,1,1,1,1,1,4,1,46,2,3,5.0,11,3,17.0,2,1,5.0,1.0,1.0,7.0,2
45,1,1,2,2,3,4,2,3,57,3,2,1.0,12,2,9.0,5,2,9.0,7.0,0.0,8.0,1
29,4,1,1,5,2,20,3,3,84,3,1,1.0,15,2,3.0,5,3,3.0,1.0,0.0,2.0,1
35,2,1,1,1,1,18,3,3,86,3,2,1.0,16,2,5.0,3,3,5.0,2.0,1.0,0.0,1
52,1,1,2,7,1,1,2,4,70,3,4,2.0,15,2,10.0,2,2,9.0,8.0,1.0,8.0,1
53,2,3,1,8,1,2,2,3,45,3,4,2.0,13,3,10.0,3,4,5.0,3.0,1.0,2.0,1
30,5,3,1,1,1,8,2,3,62,3,3,5.0,11,1,10.0,2,4,8.0,4.0,1.0,7.0,1
35,1,3,1,1,1,3,4,4,92,3,3,2.0,13,2,12.0,2,3,10.0,9.0,0.0,8.0,1
39,1,2,1,1,1,2,5,1,41,4,3,0.0,18,4,9.0,3,3,8.0,7.0,0.0,7.0,1
40,1,2,1,1,3,24,3,2,100,4,4,4.0,16,4,10.0,2,2,1.0,0.0,0.0,0.0,2
47,2,3,2,7,2,16,4,3,64,4,2,1.0,19,3,10.0,3,4,5.0,3.0,2.0,7.0,1
36,4,3,1,1,3,8,4,1,84,3,2,4.0,13,4,12.0,3,3,7.0,7.0,0.0,7.0,1
31,2,2,2,2,3,9,2,3,46,2,1,0.0,22,1,4.0,0,3,3.0,2.0,1.0,2.0,2
33,1,2,1,8,3,17,3,4,38,3,4,1.0,11,4,10.0,2,3,10.0,8.0,1.0,0.0,1
29,1,2,2,2,1,10,3,4,92,2,1,2.0,20,3,3.0,5,3,0.0,0.0,0.0,0.0,2
33,1,2,2,2,1,13,1,2,53,3,1,3.0,18,1,5.0,4,3,3.0,2.0,0.0,2.0,1
45,2,3,2,2,1,1,4,4,91,3,1,3.0,14,4,8.0,2,3,5.0,3.0,0.0,2.0,1
50,2,3,2,7,1,1,2,4,66,3,4,2.0,22,3,10.0,1,2,5.0,4.0,1.0,3.0,1
33,5,1,2,2,2,1,4,3,84,4,2,1.0,13,1,6.0,2,3,6.0,5.0,1.0,2.0,1
41,2,3,2,2,2,9,3,1,64,3,5,2.0,17,2,10.0,2,4,5.0,3.0,0.0,3.0,1
45,1,1,2,2,3,23,2,4,42,3,2,1.0,15,3,9.0,2,3,9.0,8.0,0.0,8.0,1
47,1,2,1,1,1,4,2,4,83,3,2,1.0,17,3,9.0,0,3,9.0,0.0,0.0,7.0,1
30,1,1,2,2,1,22,3,1,48,3,1,4.0,11,2,7.0,2,3,5.0,2.0,0.0,1.0,2
50,1,1,2,2,1,24,3,4,95,3,4,3.0,18,4,10.0,2,3,12.0,3.0,1.0,5.0,1
38,2,1,3,17,2,10,1,3,66,3,1,0.0,17,2,3.0,0,2,2.0,1.0,0.0,2.0,1
35,5,3,3,6,1,14,4,3,39,2,1,1.0,24,4,5.0,2,1,4.0,2.0,0.0,2.0,2
31,1,1,3,12,2,1,1,3,96,3,2,1.0,12,3,4.0,1,3,4.0,3.0,0.0,3.0,1
18,1,2,3,4,3,5,2,2,73,3,1,1.0,15,4,10.0,2,3,0.0,0.0,0.0,0.0,1
54,4,1,3,17,1,17,3,3,56,3,3,2.0,11,3,10.0,2,3,10.0,7.0,0.0,8.0,1
35,2,3,3,13,1,25,4,3,57,3,3,1.0,11,3,16.0,3,2,5.0,3.0,1.0,1.0,1
30,1,1,3,15,1,8,2,2,73,4,3,0.0,12,3,9.0,4,2,8.0,7.0,1.0,7.0,1
26,2,1,3,17,1,2,2,4,32,4,2,1.0,12,2,8.0,2,3,8.0,7.0,1.0,3.0,1
22,1,1,3,6,1,8,1,2,94,1,1,1.0,15,1,4.0,3,2,4.0,3.0,1.0,1.0,1
48,1,2,3,13,1,6,3,1,97,2,2,2.0,13,4,19.0,0,3,2.0,2.0,2.0,2.0,1
48,1,2,3,17,1,4,4,3,78,2,3,2.0,14,2,10.0,3,3,5.0,3.0,4.0,8.0,1
41,2,2,3,12,1,7,2,4,42,3,2,2.0,14,2,8.0,6,3,2.0,2.0,2.0,1.0,1
39,1,1,3,12,1,1,1,4,65,2,4,1.0,16,3,10.0,3,3,5.0,6.0,1.0,8.0,1
27,1,1,3,17,1,2,4,1,47,3,2,0.0,18,2,4.0,2,3,3.0,2.0,2.0,2.0,1
35,5,3,3,6,1,10,3,2,45,3,1,1.0,20,1,3.0,4,2,3.0,2.0,1.0,2.0,1
42,3,1,1,8,1,5,2,4,90,3,5,2.0,13,2,10.0,3,4,1.0,0.0,0.0,0.0,1
50,1,1,3,6,1,9,3,1,64,3,1,4.0,18,2,8.0,5,3,1.0,0.0,0.0,0.0,1
59,1,2,3,12,1,2,3,3,69,2,4,3.0,13,1,10.0,4,3,5.0,3.0,4.0,3.0,1
55,2,1,3,13,2,18,4,3,62,3,2,3.0,14,4,17.0,3,3,8.0,7.0,1.0,7.0,1
41,1,3,3,15,3,7,1,2,55,1,5,1.0,22,2,10.0,3,3,5.0,3.0,1.0,3.0,1
38,1,2,1,1,1,3,4,2,42,3,2,2.0,12,3,19.0,1,3,1.0,0.0,0.0,0.0,1
26,2,2,1,1,3,29,2,2,79,1,2,2.0,18,4,7.0,6,3,2.0,2.0,2.0,2.0,2
52,3,1,1,8,1,2,1,1,57,1,5,1.0,15,4,10.0,3,3,5.0,3.0,1.0,9.0,2
44,2,1,1,1,1,28,3,4,53,4,4,3.0,18,3,10.0,2,3,12.0,3.0,1.0,3.0,1
50,1,1,1,1,3,1,3,4,95,3,2,0.0,12,1,19.0,3,3,5.0,7.0,0.0,3.0,1
39,2,2,3,12,2,22,3,4,82,3,3,1.0,13,3,10.0,2,3,5.0,6.0,2.0,8.0,1
33,1,2,1,5,3,8,1,2,88,2,1,0.0,19,4,3.0,2,2,2.0,2.0,2.0,2.0,1
45,1,1,1,8,1,11,2,4,90,3,4,3.0,13,2,10.0,4,4,9.0,3.0,1.0,1.0,1
32,2,2,3,17,3,29,4,4,69,3,1,2.0,12,2,10.0,2,3,8.0,7.0,1.0,7.0,1
34,3,3,1,1,1,1,4,2,75,4,2,0.0,11,4,16.0,2,2,5.0,1.0,0.0,9.0,1
59,4,1,1,8,1,1,2,2,66,3,3,3.0,14,3,14.0,1,1,6.0,4.0,0.0,4.0,1
45,2,2,4,10,1,24,4,2,36,3,1,1.0,16,1,6.0,3,3,6.0,3.0,0.0,4.0,1
36,5,3,3,6,1,15,3,1,81,3,2,2.0,14,2,9.0,3,2,1.0,0.0,0.0,0.0,2
26,1,1,3,4,2,2,3,1,57,3,1,2.0,14,2,6.0,2,3,3.0,2.0,1.0,2.0,2
28,2,1,1,5,1,10,1,4,74,3,1,1.0,22,2,10.0,5,3,1.0,0.0,0.0,0.0,1
38,5,1,3,17,2,3,4,3,44,3,1,3.0,16,1,8.0,2,3,2.0,2.0,2.0,2.0,1
50,2,1,3,17,1,2,4,2,62,3,5,2.0,11,4,10.0,2,2,8.0,1.0,1.0,7.0,1
37,5,2,3,13,1,3,3,4,35,3,2,3.0,15,1,8.0,3,2,4.0,3.0,0.0,1.0,1
40,3,1,1,1,1,26,3,3,74,3,2,1.0,14,2,8.0,3,2,7.0,7.0,1.0,5.0,1
26,2,3,3,4,2,1,1,1,66,2,1,1.0,13,3,5.0,5,3,5.0,3.0,1.0,3.0,1
54,1,1,1,1,1,2,4,3,41,2,3,2.0,11,2,13.0,4,3,9.0,4.0,1.0,0.0,1
56,2,1,3,17,2,9,3,1,63,3,1,2.0,19,2,18.0,4,3,5.0,4.0,0.0,3.0,1
36,2,2,3,12,1,12,5,4,51,2,3,0.0,11,2,15.0,2,2,5.0,8.0,1.0,8.0,1
55,2,2,3,8,3,2,1,3,40,2,4,2.0,15,2,10.0,3,4,9.0,7.0,1.0,2.0,1
43,2,3,1,1,1,25,3,3,79,2,3,5.0,13,3,18.0,5,3,1.0,0.0,0.0,0.0,1
20,3,2,1,5,2,9,3,4,54,3,1,1.0,14,2,2.0,3,3,2.0,2.0,0.0,2.0,2
21,1,2,3,17,1,10,3,3,36,2,1,1.0,13,1,10.0,6,2,1.0,0.0,1.0,0.0,2
46,1,3,3,17,1,8,4,4,74,2,2,2.0,23,1,19.0,2,3,5.0,3.0,1.0,7.0,1
28,4,2,3,17,3,24,2,2,72,2,3,1.0,12,1,10.0,2,2,10.0,7.0,1.0,9.0,2
26,2,1,3,6,1,1,2,1,59,2,1,1.0,16,1,6.0,2,3,5.0,3.0,1.0,3.0,1
30,5,1,3,17,1,20,3,3,85,3,2,0.0,15,3,7.0,1,2,6.0,2.0,0.0,2.0,1
38,1,1,3,13,1,17,1,3,65,2,3,0.0,18,1,10.0,4,2,5.0,9.0,1.0,9.0,1
40,4,1,3,17,1,20,4,1,61,3,3,4.0,20,4,14.0,6,3,11.0,3.0,1.0,1.0,1
27,1,1,3,17,3,8,5,1,87,1,1,1.0,19,4,3.0,4,3,3.0,2.0,1.0,2.0,1
55,1,1,3,3,2,2,1,4,65,3,3,3.0,18,2,10.0,4,3,3.0,2.0,1.0,2.0,1
44,2,1,4,10,1,1,2,2,91,2,3,2.0,14,4,10.0,1,3,5.0,6.0,3.0,6.0,2
33,2,2,3,4,2,29,4,1,54,2,2,1.0,22,2,14.0,4,3,13.0,7.0,3.0,8.0,2
34,1,2,3,13,2,3,1,1,45,3,2,0.0,17,3,7.0,1,2,6.0,2.0,0.0,4.0,1
25,4,1,3,3,1,4,1,4,32,3,1,1.0,15,2,7.0,3,4,7.0,7.0,1.0,6.0,2
26,2,3,3,3,1,21,3,1,37,3,1,1.0,20,3,10.0,0,2,1.0,1.0,0.0,0.0,2
42,2,1,3,8,1,2,2,4,35,3,4,0.0,17,4,10.0,3,3,5.0,6.0,1.0,7.0,1
28,2,3,3,3,2,1,3,1,45,2,1,1.0,15,1,10.0,2,3,1.0,0.0,0.0,0.0,2
50,5,2,1,1,2,1,4,4,81,3,2,3.0,14,4,5.0,4,3,0.0,0.0,0.0,0.0,2
33,1,1,1,1,2,7,3,4,30,3,2,0.0,17,3,4.0,3,3,3.0,2.0,0.0,2.0,1
34,1,1,3,4,3,3,4,3,40,2,1,3.0,17,4,6.0,2,3,0.0,0.0,0.0,0.0,1
48,2,2,3,3,3,1,4,1,35,4,4,2.0,22,3,10.0,3,2,5.0,4.0,2.0,1.0,1
45,1,1,1,1,3,9,4,2,65,2,2,1.0,13,4,15.0,2,3,5.0,3.0,4.0,3.0,1
52,1,2,3,13,1,7,4,2,87,3,3,2.0,19,4,18.0,4,3,8.0,6.0,4.0,0.0,1
38,3,3,1,1,1,10,4,3,73,2,3,0.0,14,2,9.0,2,3,8.0,7.0,2.0,7.0,1
29,1,3,3,3,1,28,4,3,93,3,1,4.0,22,1,11.0,1,3,7.0,5.0,1.0,7.0,1
28,2,3,3,12,1,3,3,4,93,3,3,0.0,17,2,10.0,3,2,9.0,7.0,1.0,7.0,1
46,3,1,1,8,1,3,1,1,52,3,4,3.0,12,4,10.0,3,3,12.0,9.0,4.0,9.0,1
38,3,2,1,1,1,2,2,4,32,3,3,2.0,16,3,10.0,2,3,1.0,0.0,0.0,0.0,1
39,1,3,3,13,2,2,3,1,84,3,4,2.0,11,4,10.0,4,3,5.0,7.0,1.0,5.0,2
40,2,2,3,3,1,14,3,3,44,2,5,1.0,14,1,10.0,2,4,5.0,7.0,4.0,9.0,1
39,1,2,3,6,3,9,3,3,70,3,2,2.0,15,3,9.0,2,2,5.0,4.0,0.0,3.0,1
